Filesize,seconds
272968,57.033278942108154
158648,24.019570112228394
34,0.011134147644042969
1962418,357.6424651145935
12259,2.430793046951294
1135,0.2187821865081787
10468,2.251267194747925
563520,88.8581919670105
1127040,179.2668080329895
272968,52.35227179527283
158648,26.29419493675232
272968,0.04355216026306152
40.95260286331177
272968,158648,272968,272968,272968,272968,158648,272968,272968,272968,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,158648,272968,272968,158648,272968,272968,158648,158648,158648,272968,158648,272968,272968,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,158648,272968,158648,272968,158648,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,158648,272968,8.217864990234375
158648,158648,1364.2289559841156
2.2338311672210693
272968,5.4524970054626465
158648,1.6281590461730957
158648,2.4306750297546387
158648,1.3931560516357422
158648,1.8221709728240967
272968,4.126971960067749
158648,1.5155260562896729
272968,158648,4.131479024887085
2.280900001525879
272968,2.734652280807495
158648,3.3630168437957764
158648,3.7644739151000977
158648,1.5608940124511719
272968,2.7381279468536377
158648,1.4603362083435059
272968,2.9228808879852295
272968,4.026757717132568
272968,2.7177982330322266
272968,3.68564772605896
272968,3.8983922004699707
158648,2.595195770263672
272968,9.58394980430603
272968,4.549299001693726
272968,3.190058946609497
272968,38.01487398147583
272968,24.583401918411255
272968,13.582671880722046
272968,2.84100604057312
272968,4.854457139968872
158648,1.9491710662841797
272968,4.157372951507568
272968,3.5287580490112305
272968,2.5473551750183105
272968,4.801270008087158
158648,3.1729750633239746
272968,5.3222432136535645
272968,2.939969778060913
272968,4.4422221183776855
272968,2.7339470386505127
158648,1.5237722396850586
272968,4.636767864227295
158648,1.5354409217834473
272968,3.0053350925445557
158648,3.545525074005127
158648,1.562295913696289
158648,1.6817076206207275
158648,1.88677978515625
272968,2.8351969718933105
272968,5.8041672706604
272968,3.073218822479248
158648,1.453787088394165
272968,3.453542947769165
158648,3.923692226409912
272968,6.776731967926025
158648,4.582803964614868
158648,3.0839788913726807
272968,2.942824125289917
158648,3.110275983810425
158648,1.5227808952331543
272968,3.349524974822998
158648,2.1580307483673096
272968,2.9278337955474854
158648,1.9379470348358154
272968,2.874706983566284
158648,4.282199144363403
158648,272968,3.8954389095306396
158648,1.5745830535888672
272968,3.403785228729248
158648,2.20076584815979
272968,12.366566896438599
158648,1.8151891231536865
272968,2.566877841949463
158648,1.8144588470458984
272968,3.15606689453125
158648,2.692425012588501
158648,1.662597894668579
158648,1.6990950107574463
158648,2.035529136657715
158648,2.1258950233459473
158648,3.9136412143707275
158648,4.272240877151489
272968,4.7374022006988525
158648,4.733779191970825
158648,1.6457679271697998
158648,2.598237991333008
158648,1.7300870418548584
272968,3.007422924041748
0.0529170036315918
0.10245800018310547
43.164477825164795
2.8494338989257812
54.96743083000183
1.0131688117980957
5.798456192016602
1.0933282375335693
1.3404333591461182
0.5048949718475342
2.402787208557129
0.04159736633300781
158648,5.938827037811279
0.12930798530578613
34,0.0531005859375
34,0.09415507316589355
34,0.1266770362854004
34,0.07522988319396973
34,0.0861349105834961
3495,0.06720733642578125
3520,0.07218194007873535
0.22284579277038574
0.06575274467468262
0.05474424362182617
0.07171893119812012
0.05948996543884277
0.0909280776977539
0.08403205871582031
0.07230401039123535
0.08616232872009277
0.054437875747680664
0.07020378112792969
0.06945013999938965
0.11342906951904297
0.0687863826751709
0.10500216484069824
0.05392909049987793
0.07984209060668945
0.09747815132141113
0.09919285774230957
0.06954479217529297
0.07328009605407715
0.05173826217651367
0.08166193962097168
0.0841219425201416
0.08481693267822266
0.06160712242126465
0.1105649471282959
0.11570096015930176
0.06627893447875977
0.09944891929626465
0.06159329414367676
0.048120975494384766
0.03565692901611328
0.02665996551513672
0.03210711479187012
0.08160877227783203
0.07893490791320801
0.07807302474975586
0.08973979949951172
0.06756401062011719
0.05397820472717285
0.07745623588562012
0.06531095504760742
0.042465925216674805
0.19087815284729004
0.15408921241760254
34,0.09519696235656738
34,0.10178112983703613
0.09647488594055176
0.06283283233642578
0.052323102951049805
34,0.08061814308166504
34,0.31444787979125977
272968,2.9405722618103027
158648,1.4300777912139893
158648,1.452409029006958
158648,2.777866840362549
158648,2.0042760372161865
158648,1.4824912548065186
158648,1.6190369129180908
158648,1.4081809520721436
158648,1.6056771278381348
158648,2.0147669315338135
158648,1.3950128555297852
158648,1.6578481197357178
158648,1.6098260879516602
158648,1.6336147785186768
158648,1.385746955871582
158648,1.6742448806762695
158648,3.344541311264038
158648,1.4329609870910645
158648,1.6943869590759277
158648,2.4097421169281006
158648,1.9755909442901611
0.21158981323242188
158648,1.8996970653533936
158648,1.521643877029419
158648,1.4920251369476318
158648,1.4760079383850098
158648,2.002542018890381
158648,1.5544240474700928
158648,3.6073689460754395
158648,2.896071195602417
34,0.09576296806335449
34,0.09113717079162598
0.20606422424316406
0.05298566818237305
0.05409097671508789
0.11965513229370117
0.06715273857116699
0.0721290111541748
0.027603864669799805
